"﻿Punto","Este","Norte"
"213","810507,114","1514104,57"
"214","810508,158","1514097,78"
"215","810508,626","1514094,54"
"216","810510,306","1514084,56"
"217","810510,362","1514084,1"
"218","810511,108","1514074,01"
"219","810512,279","1514063,94"
"220","810512,298","1514063,74"
"221","810512,366","1514062,84"
"222","810512,374","1514062,71"
"223","810512,836","1514053,38"
"224","810513,48","1514043,16"
"225","810513,489","1514042,91"
"226","810513,626","1514032,61"
"227","810513,55","1514031,71"
"228","810513,523","1514031,56"
"229","810511,634","1514022,44"
"230","810513,923","1514013,18"
"231","810514,048","1514012,45"
"232","810514,061","1514011,7"
"233","810513,962","1514010,96"
"234","810513,754","1514010,24"
"235","810510,313","1514001,22"
"236","810511,063","1513992"
"237","810511,08","1513991,59"
"238","810511,056","1513991,1"
"239","810510,052","1513980,89"
"240","810510,033","1513980,72"
"241","810508,697","1513970,55"
"242","810508,682","1513970,44"
"243","810507,124","1513960,29"
"244","810507,102","1513960,15"
"245","810505,204","1513949,98"
"246","810503,775","1513943,12"
"247","810503,013","1513939,79"
"248","810502,987","1513939,69"
"249","810500,47","1513929,72"
"250","810497,906","1513919,76"
"251","810497,868","1513919,62"
"252","810495,021","1513909,75"
"253","810494,978","1513909,61"
"254","810491,843","1513899,83"
"255","810491,772","1513899,63"
"256","810488,172","1513890,03"
"257","810484,74","1513880,37"
"258","810484,662","1513880,17"
"259","810480,764","1513870,66"
"260","810480,72","1513870,56"
"261","810476,607","1513861,15"
"262","810476,517","1513860,95"
"263","810472,009","1513851,73"
"264","810467,515","1513842,5"
"265","810467,448","1513842,37"
"266","810462,659","1513833,24"
"267","810461,371","1513830,88"
"268","810461,313","1513830,78"
"269","810457,502","1513824,18"
"270","810457,436","1513824,07"
"271","810452,098","1513815,36"
"272","810452,025","1513815,24"
"273","810446,492","1513806,74"
"274","810442,868","1513800,99"
"275","810441,075","1513798,18"
"276","810440,989","1513798,05"
"277","810435,291","1513789,71"
"278","810434,393","1513788,39"
"279","810429,576","1513781,4"
"280","810425,935","1513776,13"
"281","810423,964","1513773,18"
"282","810422,516","1513771,01"
"283","810418,304","1513764,88"
"284","810412,744","1513756,58"
"285","810407,083","1513748,31"
"286","810401,518","1513740,13"
"287","810396,266","1513731,73"
"288","810396,152","1513731,56"
"289","810390,504","1513723,3"
"290","810390,208","1513722,91"
"291","810389,966","1513722,65"
"292","810383,636","1513716,12"
"293","810380,471","1513707,44"
"294","810380,184","1513706,8"
"295","810379,809","1513706,2"
"296","810379,355","1513705,67"
"297","810372,655","1513698,79"
"298","810367,735","1513690,73"
"299","810367,651","1513690,6"
"300","810362,176","1513682,23"
"301","810356,827","1513674,05"
"302","810352,236","1513665,37"
"303","810352,145","1513665,2"
"304","810351,992","1513664,95"
"305","810346,494","1513656,6"
"306","810346,208","1513656,21"
"307","810340,053","1513648,58"
"308","810334,657","1513640,44"
"309","810329,124","1513632,1"
"310","810323,584","1513623,79"
"311","810318,096","1513615,42"
"312","810312,522","1513607,1"
"313","810307","1513598,77"
"314","810301,418","1513590,45"
"315","810295,829","1513582,15"
"316","810290,242","1513573,84"
"317","810284,602","1513565,61"
"318","810279,141","1513557,32"
"319","810273,761","1513548,92"
"320","810273,645","1513548,75"
"321","810267,933","1513540,61"
"322","810262,443","1513532,38"
"323","810257,028","1513523,98"
"324","810251,493","1513515,58"
"325","810245,876","1513507,26"
"326","810240,251","1513499,02"
"327","810234,76","1513490,73"
"328","810229,307","1513482,37"
"329","810228,925","1513481,85"
"330","810222,89","1513474,87"
"331","810219,523","1513466,1"
"332","810219,186","1513465,39"
"333","810218,809","1513464,83"
"334","810212,818","1513457,09"
"335","810207,579","1513448,84"
"336","810202,211","1513440,4"
"337","810196,846","1513431,98"
"338","810191,561","1513423,5"
"339","810186,206","1513415,02"
"340","810180,842","1513406,56"
"341","810175,466","1513398,13"
"342","810170,124","1513389,7"
"343","810164,832","1513381,21"
"344","810159,476","1513372,75"
"345","810154,146","1513364,28"
"346","810148,8","1513355,84"
"347","810143,539","1513347,36"
"348","810138,244","1513338,84"
"349","810132,883","1513330,38"
"350","810127,593","1513321,91"
"351","810122,282","1513313,41"
"352","810116,909","1513304,94"
"353","810111,518","1513296,5"
"354","810111,135","1513295,98"
"355","810110,736","1513295,56"
"356","810104,265","1513289,45"
"357","810101,688","1513280,69"
"358","810101,397","1513279,93"
"359","810100,987","1513279,23"
"360","810095,32","1513271,13"
"361","810090,049","1513262,79"
"362","810084,771","1513254,29"
"363","810079,427","1513245,86"
"364","810074,262","1513237,34"
"365","810074,163","1513237,18"
"366","810069,326","1513229,84"
"367","810068,98","1513229,37"
"368","810068,363","1513228,76"
"369","810067,65","1513228,26"
"370","810067,229","1513228,06"
"371","810066,86","1513227,89"
"372","810066,018","1513227,66"
"373","810065,149","1513227,59"
"374","810064,281","1513227,66"
"375","810063,439","1513227,89"
"376","810062,65","1513228,26"
"377","810062,355","1513228,44"
"378","810061,217","1513229,21"
"379","810033,836","1513187,57"
"380","810034,709","1513186,99"
"381","810035,128","1513186,67"
"382","810035,744","1513186,05"
"383","810036,244","1513185,34"
"384","810036,612","1513184,55"
"385","810036,838","1513183,71"
"386","810036,914","1513182,84"
"387","810036,838","1513181,97"
"388","810036,612","1513181,13"
"389","810036,244","1513180,34"
"390","810036,02","1513179,99"
"391","810035,233","1513178,86"
"392","810035,026","1513178,58"
"393","810028,798","1513170,82"
"394","810022,937","1513162,98"
"395","810017,441","1513154,75"
"396","810011,786","1513146,46"
"397","810006,124","1513138,21"
"398","810006,02","1513138,07"
"399","810000,048","1513130"
"400","809993,966","1513121,97"
"401","809987,812","1513114,04"
"402","809981,773","1513106,2"
"403","809976,103","1513098,11"
"404","809970,37","1513089,86"
"405","809964,464","1513081,72"
"406","809964,342","1513081,56"
"407","809958,318","1513073,93"
"408","809953,276","1513065,63"
"409","809952,881","1513065,07"
"410","809946,529","1513057,27"
"411","809940,821","1513050,37"
"412","809938,421","1513041,18"
"413","809938,213","1513040,56"
"414","809937,926","1513039,97"
"415","809937,564","1513039,42"
"416","809937,134","1513038,92"
"417","809930,015","1513031,74"
