"﻿Punto","Este","Norte"
"930","809133,663","1512174,54"
"931","809132,014","1512176,81"
"932","809131,307","1512177,71"
"933","809128,576","1512180,78"
"934","809125,462","1512183,63"
"935","809125,347","1512183,75"
"936","809122,55","1512186,39"
"937","809122,15","1512186,81"
"938","809122,012","1512186,98"
"939","809121,895","1512187,14"
"940","809119,575","1512190,16"
"941","809118,49","1512191,59"
"942","809117,156","1512193,34"
"943","809116,882","1512193,74"
"944","809115,102","1512196,61"
"945","809114,782","1512197,13"
"946","809114,704","1512197,26"
"947","809114,544","1512197,56"
"948","809113,178","1512200,35"
"949","809113,087","1512200,54"
"950","809112,732","1512201,35"
"951","809112,649","1512201,56"
"952","809112,293","1512202,48"
"953","809111,194","1512205,32"
"954","809111,12","1512205,53"
"955","809110,323","1512207,99"
"956","809109,888","1512209,32"
"957","809109,719","1512210,01"
"958","809108,985","1512214,23"
"959","809108,954","1512214,43"
"960","809108,81","1512215,53"
"961","809108,78","1512215,82"
"962","809108,495","1512219,79"
"963","809108,485","1512219,95"
"964","809108,331","1512223,93"
"965","809108,328","1512224,12"
"966","809108,333","1512224,35"
"967","809108,493","1512227,82"
"968","809108,508","1512228,04"
"969","809108,555","1512228,55"
"970","809108,585","1512228,81"
"971","809109,153","1512232,76"
"972","809109,178","1512232,92"
"973","809109,237","1512233,21"
"974","809110,162","1512237,1"
"975","809110,37","1512237,76"
"976","809110,67","1512238,39"
"977","809111,054","1512238,98"
"978","809113,579","1512242,28"
"979","809113,721","1512242,46"
"980","809114,112","1512242,87"
"981","809116,656","1512245,28"
"982","809117,866","1512247,22"
"983","809118,599","1512250,35"
"984","809118,769","1512250,91"
"985","809118,933","1512251,31"
"986","809120,618","1512254,94"
"987","809120,822","1512255,33"
"988","809121,309","1512256,03"
"989","809123,804","1512259,02"
"990","809125,245","1512260,82"
"991","809125,335","1512260,95"
"992","809125,645","1512261,32"
"993","809127,908","1512264,13"
"994","809128,206","1512264,5"
"995","809130,383","1512267,43"
"996","809130,587","1512267,71"
"997","809131,536","1512269,09"
"998","809132,433","1512270,59"
"999","809132,509","1512270,73"
"1000","809132,714","1512271,11"
"1001","809133,682","1512272,85"
"1002","809134,425","1512274,19"
"1003","809134,495","1512274,34"
"1004","809135,546","1512277,39"
"1005","809135,77","1512278,95"
"1006","809135,852","1512280,05"
"1007","809135,904","1512280,76"
"1008","809135,967","1512281,26"
"1009","809136,192","1512282,1"
"1010","809136,561","1512282,89"
"1011","809137,06","1512283,6"
"1012","809137,61","1512284,16"
"1013","809140,183","1512286,4"
"1014","809139,845","1512289,04"
"1015","809139,804","1512289,67"
"1016","809139,88","1512290,54"
"1017","809140,106","1512291,38"
"1018","809140,474","1512292,17"
"1019","809140,974","1512292,89"
"1020","809141,591","1512293,5"
"1021","809142,304","1512294"
"1022","809143,094","1512294,37"
"1023","809143,974","1512294,61"
"1024","809144,462","1512294,69"
"1025","809151,573","1512298,48"
"1026","809152,214","1512298,77"
"1027","809153,043","1512298,99"
"1028","809154,297","1512299,21"
"1029","809154,415","1512299,23"
"1030","809155,289","1512299,31"
"1031","809156,157","1512299,23"
"1032","809156,999","1512299,01"
"1033","809157,789","1512298,64"
"1034","809158,503","1512298,14"
"1035","809159,119","1512297,52"
"1036","809159,619","1512296,81"
"1037","809159,987","1512296,02"
"1038","809160,216","1512295,16"
"1039","809160,272","1512294,83"
"1040","809160,407","1512294,22"
"1041","809161,258","1512290,37"
"1042","809161,31","1512290,19"
"1043","809162,804","1512287,43"
"1044","809164,676","1512284,88"
"1045","809167,088","1512283,95"
"1046","809168,567","1512283,39"
"1047","809169,254","1512283,06"
"1048","809169,883","1512282,63"
"1049","809170,44","1512282,12"
"1050","809170,912","1512281,52"
"1051","809171,775","1512280,25"
"1052","809171,978","1512279,95"
"1053","809172,561","1512279,14"
"1054","809173,21","1512278,29"
"1055","809174,727","1512276,48"
"1056","809175,153","1512276,01"
"1057","809175,592","1512275,54"
"1058","809175,792","1512275,33"
"1059","809176,273","1512274,84"
"1060","809178,551","1512272,75"
"1061","809181,519","1512270,6"
"1062","809185,101","1512268,86"
"1063","809185,187","1512268,82"
"1064","809185,399","1512268,71"
"1065","809188,794","1512266,78"
"1066","809189,227","1512266,51"
"1067","809192,521","1512264,14"
"1068","809193,621","1512263,33"
"1069","809194,046","1512263,06"
"1070","809196,202","1512261,53"
"1071","809196,717","1512261,24"
"1072","809199,363","1512259,75"
"1073","809200,038","1512259,45"
"1074","809202,756","1512258,27"
"1075","809203,519","1512258,01"
"1076","809206,192","1512257,24"
"1077","809206,326","1512257,21"
"1078","809209,643","1512256,66"
"1079","809209,802","1512256,65"
"1080","809210,243","1512256,61"
"1081","809213,201","1512256,45"
"1082","809216,411","1512256,94"
"1083","809216,958","1512257,05"
"1084","809217,372","1512257,11"
"1085","809219,389","1512257,88"
"1086","809221,803","1512258,82"
"1087","809224,298","1512259,75"
"1088","809224,636","1512259,86"
"1089","809233,388","1512262,39"
"1090","809233,478","1512262,42"
"1091","809234,123","1512262,61"
"1092","809243,619","1512265,67"
"1093","809243,96","1512265,77"
"1094","809253,653","1512268,15"
"1095","809263,264","1512270,62"
"1096","809272,81","1512273,29"
"1097","809275,745","1512274,15"
"1098","809282,09","1512276,32"
"1099","809291,574","1512279,54"
"1100","809291,755","1512279,6"
"1101","809301,316","1512282,45"
"1102","809310,799","1512285,38"
"1103","809319,026","1512288,09"
"1104","809320,283","1512288,5"
"1105","809321,342","1512288,84"
"1106","809323,674","1512289,6"
"1107","809329,873","1512291,54"
"1108","809330,498","1512291,69"
"1109","809330,607","1512291,71"
"1110","809340,127","1512293,17"
"1111","809349,032","1512296,23"
"1112","809358,197","1512300,01"
"1113","809358,393","1512300,09"
"1114","809358,582","1512300,15"
"1115","809368,128","1512303,2"
"1116","809376,559","1512305,83"
"1117","809377,644","1512306,18"
"1118","809378,862","1512306,58"
"1119","809381,12","1512307,29"
"1120","809381,348","1512307,37"
"1121","809382,122","1512307,57"
"1122","809382,99","1512307,64"
"1123","809383,858","1512307,57"
"1124","809384,7","1512307,34"
"1125","809385,49","1512306,98"
"1126","809386,204","1512306,48"
"1127","809386,82","1512305,86"
"1128","809387,32","1512305,15"
"1129","809387,689","1512304,36"
"1130","809387,798","1512304,02"
"1131","809388,6","1512301,21"
"1132","809426,918","1512312,29"
"1133","809425,871","1512315,97"
"1134","809425,778","1512316,31"
"1135","809425,651","1512316,82"
"1136","809425,575","1512317,68"
"1137","809425,651","1512318,55"
"1138","809425,877","1512319,39"
"1139","809426,245","1512320,18"
"1140","809426,745","1512320,9"
"1141","809427,361","1512321,52"
"1142","809428,075","1512322,01"
"1143","809428,865","1512322,38"
"1144","809429,707","1512322,61"
"1145","809429,974","1512322,64"
"1146","809430,573","1512322,7"
"1147","809435,45","1512323,31"
"1148","809444,137","1512326,87"
"1149","809444,322","1512326,94"
"1150","809444,573","1512327,02"
"1151","809454,139","1512329,94"
"1152","809454,295","1512329,99"
"1153","809463,896","1512332,58"
"1154","809473,447","1512335,37"
"1155","809473,628","1512335,42"
"1156","809483,373","1512337,88"
"1157","809493,113","1512340,15"
"1158","809502,714","1512342,62"
"1159","809512,374","1512345,23"
"1160","809522,103","1512347,72"
"1161","809531,775","1512350,18"
"1162","809541,394","1512352,72"
"1163","809551,048","1512355,41"
"1164","809560,499","1512357,82"
"1165","809569,574","1512361,36"
"1166","809569,679","1512361,4"
"1167","809570,094","1512361,53"
"1168","809579,751","1512364,12"
"1169","809589,445","1512366,73"
"1170","809599,186","1512369,18"
"1171","809599,382","1512369,23"
"1172","809608,948","1512371,24"
"1173","809618,244","1512374,18"
"1174","809618,856","1512374,34"
"1175","809628,579","1512376,12"
"1176","809631,035","1512376,73"
"1177","809637,68","1512378,82"
"1178","809644,82","1512381,23"
"1179","809646,842","1512381,92"
"1180","809655,707","1512386,03"
"1181","809656,1","1512386,2"
"1182","809656,514","1512386,33"
"1183","809658,752","1512386,93"
"1184","809665,997","1512388,82"
"1185","809675,32","1512391,37"
"1186","809675,771","1512391,47"
"1187","809676,225","1512391,53"
"1188","809685,767","1512392,32"
"1189","809694,457","1512394,25"
"1190","809699,731","1512396,42"
"1191","809702,563","1512397,77"
"1192","809711,128","1512401,72"
"1193","809719,418","1512405,96"
"1194","809727,617","1512410,52"
"1195","809735,669","1512415,15"
"1196","809743,248","1512420,42"
"1197","809750,721","1512426,03"
"1198","809757,932","1512431,96"
"1199","809764,837","1512438,14"
"1200","809771,307","1512444,86"
"1201","809777,695","1512451,7"
"1202","809783,591","1512458,9"
"1203","809789,242","1512466,31"
"1204","809794,43","1512474,08"
"1205","809799,058","1512481,36"
"1206","809799,344","1512481,86"
"1207","809803,846","1512490,16"
"1208","809808,177","1512498,52"
"1209","809812,172","1512506,92"
"1210","809815,685","1512515,63"
"1211","809819,166","1512524,32"
"1212","809821,954","1512533,22"
"1213","809824,456","1512541,83"
"1214","809825,069","1512550,89"
"1215","809825,582","1512560,39"
"1216","809825,608","1512560,7"
"1217","809826,699","1512570,1"
"1218","809827,781","1512579,27"
"1219","809827,978","1512588,46"
"1220","809828,046","1512597,84"
"1221","809827,92","1512607,3"
"1222","809827,955","1512607,93"
"1223","809828,169","1512609,71"
"1224","809828,209","1512609,98"
"1225","809828,363","1512610,61"
"1226","809830,361","1512616,97"
"1227","809827,229","1512624,56"
"1228","809827,153","1512624,76"
"1229","809826,995","1512625,28"
"1230","809824,672","1512634,73"
"1231","809824,631","1512634,91"
"1232","809822,646","1512644,51"
"1233","809820,735","1512654,18"
"1234","809818,776","1512663,87"
"1235","809818,595","1512664,67"
"1236","809816,644","1512673,65"
"1237","809815,216","1512680,5"
"1238","809814,61","1512683,41"
"1239","809812,366","1512693,1"
"1240","809809,898","1512702,86"
"1241","809809,822","1512703,21"
"1242","809809,752","1512703,83"
"1243","809809,234","1512714,11"
"1244","809808,918","1512723,66"
"1245","809805,685","1512732,75"
"1246","809805,483","1512733,5"
"1247","809804,357","1512739,49"
"1248","809803,469","1512743,49"
"1249","809803,426","1512743,7"
"1250","809803,358","1512744,3"
"1251","809802,793","1512754,63"
"1252","809802,788","1512754,76"
"1253","809802,489","1512765,09"
"1254","809802,186","1512775,4"
"1255","809801,898","1512785,72"
"1256","809801,897","1512785,88"
"1257","809802,003","1512796,24"
"1258","809802,165","1512806,61"
"1259","809802,513","1512817,02"
"1260","809803,01","1512827,38"
"1261","809803,035","1512827,69"
"1262","809804,167","1512837,97"
"1263","809804,201","1512838,22"
"1264","809805,865","1512848,46"
"1265","809805,914","1512848,71"
"1266","809808,158","1512858,81"
"1267","809808,204","1512859"
"1268","809809,278","1512863,07"
"1269","809810,926","1512868,98"
"1270","809813,427","1512878,92"
"1271","809815,965","1512888,9"
"1272","809816,052","1512889,2"
"1273","809819,114","1512898,71"
"1274","809821","1512908,6"
"1275","809821,213","1512909,37"
"1276","809821,407","1512909,83"
"1277","809825,801","1512918,96"
"1278","809829,247","1512928,42"
"1279","809832,885","1512938,08"
"1280","809832,938","1512938,22"
"1281","809836,85","1512947,75"
"1282","809836,926","1512947,92"
"1283","809841,2","1512957,3"
"1284","809841,25","1512957,41"
"1285","809845,746","1512966,69"
"1286","809845,827","1512966,85"
"1287","809850,662","1512975,98"
"1288","809851,704","1512977,91"
"1289","809851,765","1512978,02"
"1290","809855,811","1512985,08"
"1291","809855,988","1512985,37"
"1292","809861,647","1512993,83"
"1293","809867,04","1513002,41"
"1294","809872,119","1513010,37"
"1295","809872,567","1513011,04"
"1296","809872,631","1513011,13"
"1297","809878,411","1513019,41"
"1298","809880,816","1513022,82"
"1299","809884,302","1513027,61"
"1300","809884,863","1513028,4"
"1301","809889,088","1513034,87"
"1302","809889,62","1513035,71"
"1303","809894,891","1513044,06"
"1304","809899,708","1513052,71"
"1305","809899,756","1513052,79"
"1306","809904,846","1513061,45"
"1307","809909,911","1513070,06"
"1308","809914,88","1513078,7"
"1309","809919,707","1513087,44"
"1310","809924,558","1513096,26"
"1311","809929,52","1513105,04"
"1312","809929,581","1513105,14"
"1313","809934,781","1513113,75"
"1314","809940,167","1513122,3"
"1315","809945,729","1513130,73"
"1316","809951,378","1513138,96"
"1317","809956,769","1513147,24"
"1318","809961,988","1513155,71"
"1319","809967,225","1513164,23"
"1320","809967,301","1513164,35"
"1321","809972,8","1513172,76"
"1322","809978,45","1513181,07"
"1323","809983,981","1513189,19"
"1324","809988,949","1513197,72"
"1325","809994,054","1513206,28"
"1326","809994,711","1513207,46"
"1327","809995,229","1513208,2"
"1328","809995,845","1513208,82"
"1329","809996,559","1513209,32"
"1330","809997,349","1513209,69"
"1331","809998,191","1513209,91"
"1332","809999,059","1513209,99"
"1333","809999,927","1513209,91"
"1334","810000,769","1513209,69"
"1335","810001,559","1513209,32"
"1336","810001,854","1513209,13"
"1337","810002,691","1513208,57"
"1338","810023,599","1513238,75"
"1339","810031,067","1513249,53"
"1340","810030,375","1513250"
"1341","810029,956","1513250,31"
"1342","810029,34","1513250,93"
"1343","810028,84","1513251,64"
"1344","810028,472","1513252,43"
"1345","810028,246","1513253,28"
"1346","810028,17","1513254,14"
"1347","810028,246","1513255,01"
"1348","810028,472","1513255,85"
"1349","810028,84","1513256,64"
"1350","810029,063","1513257"
"1351","810034,079","1513264,22"
"1352","810039,764","1513272,43"
"1353","810045,441","1513280,69"
"1354","810051,206","1513288,86"
"1355","810056,88","1513297,12"
"1356","810062,715","1513305,29"
"1357","810062,955","1513305,6"
"1358","810063,578","1513306,23"
"1359","810070,549","1513312,03"
"1360","810073,609","1513320,45"
"1361","810073,977","1513321,24"
"1362","810074,429","1513321,9"
"1363","810080,68","1513329,58"
"1364","810086,431","1513337,5"
"1365","810092,004","1513345,71"
"1366","810092,094","1513345,84"
"1367","810097,967","1513353,93"
"1368","810103,791","1513362,08"
"1369","810109,744","1513370,14"
"1370","810115,582","1513378,23"
"1371","810121,438","1513386,34"
"1372","810127,288","1513394,46"
"1373","810133,136","1513402,56"
"1374","810138,933","1513410,71"
"1375","810144,802","1513418,83"
"1376","810150,641","1513426,93"
"1377","810156,422","1513435,09"
"1378","810162,302","1513443,26"
"1379","810168,316","1513451,29"
"1380","810174,174","1513459,33"
"1381","810180,012","1513467,49"
"1382","810185,984","1513475,48"
"1383","810191,639","1513483,63"
"1384","810191,933","1513484,01"
"1385","810198,516","1513491,69"
"1386","810204,887","1513499,01"
"1387","810209,991","1513507,11"
"1388","810215,167","1513515,66"
"1389","810220,418","1513524,14"
"1390","810225,465","1513532,73"
"1391","810225,59","1513532,93"
"1392","810231,083","1513541,34"
"1393","810236,725","1513549,68"
"1394","810242,487","1513557,96"
"1395","810248,377","1513566,07"
"1396","810254,005","1513574,06"
"1397","810259,065","1513582,49"
"1398","810259,22","1513582,74"
"1399","810264,846","1513591"
"1400","810270,423","1513599,3"
"1401","810276,087","1513607,55"
"1402","810281,664","1513615,77"
"1403","810287,064","1513624,12"
"1404","810287,134","1513624,23"
"1405","810292,767","1513632,47"
"1406","810298,374","1513640,75"
"1407","810303,997","1513649,03"
"1408","810309,638","1513657,29"
"1409","810315,279","1513665,57"
"1410","810320,974","1513673,81"
"1411","810326,669","1513682,04"
"1412","810332,386","1513690,26"
"1413","810338,109","1513698,45"
"1414","810343,773","1513706,65"
"1415","810349,222","1513714,65"
"1416","810353,676","1513723,33"
"1417","810353,795","1513723,55"
"1418","810354,035","1513723,93"
"1419","810359,789","1513732,11"
"1420","810360,048","1513732,45"
"1421","810360,428","1513732,85"
"1422","810366,876","1513739"
"1423","810369,494","1513747,77"
"1424","810369,764","1513748,48"
"1425","810370,137","1513749,13"
"1426","810370,605","1513749,73"
"1427","810377,142","1513756,83"
"1428","810382,213","1513764,92"
"1429","810382,367","1513765,15"
"1430","810388,101","1513773,25"
"1431","810393,601","1513781,54"
"1432","810397,734","1513787,66"
"1433","810399,099","1513789,78"
"1434","810399,195","1513789,93"
"1435","810401,228","1513792,86"
"1436","810404,835","1513798,08"
"1437","810409,392","1513805,01"
"1438","810410,249","1513806,32"
"1439","810415,672","1513814,57"
"1440","810417,4","1513817,3"
"1441","810421,033","1513822,87"
"1442","810426,305","1513831,02"
"1443","810431,162","1513839,42"
"1444","810434,837","1513845,63"
"1445","810436,012","1513847,73"
"1446","810440,529","1513856,25"
"1447","810444,86","1513864,86"
"1448","810448,943","1513873,61"
"1449","810452,867","1513882,35"
"1450","810456,317","1513891,32"
"1451","810459,726","1513900,39"
"1452","810462,925","1513909,49"
"1453","810465,903","1513918,65"
"1454","810468,672","1513927,9"
"1455","810471,244","1513937,24"
"1456","810473,724","1513946,59"
"1457","810474,44","1513949,63"
"1458","810475,892","1513955,83"
"1459","810477,321","1513965,34"
"1460","810478,946","1513975,03"
"1461","810479,128","1513975,76"
"1462","810481,855","1513983,98"
"1463","810480,204","1513992,78"
"1464","810480,129","1513993,44"
"1465","810480,142","1513994,1"
"1466","810480,242","1513994,76"
"1467","810480,429","1513995,4"
"1468","810483,513","1514003,75"
"1469","810482,388","1514012,41"
"1470","810482,347","1514013,05"
"1471","810482,353","1514013,3"
"1472","810482,834","1514022,94"
"1473","810482,883","1514032,59"
"1474","810482,946","1514042,21"
"1475","810482,483","1514051,77"
"1476","810481,876","1514060,54"
"1477","810481,807","1514061,27"
"1478","810480,661","1514070,89"
"1479","810479,38","1514080,58"
"1480","810478,105","1514090,3"
"1481","810477,639","1514093,46"
"1482","810476,697","1514100,05"
"1483","810475,538","1514107,97"
"1484","810475,251","1514109,78"
"1485","810473,688","1514119,61"
"1486","810473,232","1514122,54"
"1487","810472,254","1514128,56"
"1488","810472,11","1514129,41"
"1489","810470,425","1514139,3"
"1490","810468,898","1514149,18"
"1491","810467,198","1514159,03"
"1492","810465,622","1514168,94"
"1493","810464,063","1514178,79"
"1494","810462,418","1514188,69"
"1495","810460,954","1514198,62"
"1496","810459,467","1514208,51"
"1497","810458,01","1514218,35"
"1498","810456,331","1514228,2"
"1499","810454,816","1514238,13"
"1500","810453,874","1514244,11"
"1501","810453,813","1514244,89"
"1502","810453,866","1514245,62"
"1503","810453,88","1514245,74"
"1504","810453,682","1514246,64"
"1505","810453,609","1514246,76"
"1506","810453,23","1514247,45"
"1507","810452,972","1514248,19"
"1508","810452,84","1514248,96"
"1509","810452,697","1514249,27"
"1510","810452,585","1514249,62"
"1511","810452,496","1514249,93"
"1512","810452,239","1514250,81"
"1513","810451,983","1514251,66"
"1514","810451,707","1514252,55"
"1515","810451,438","1514253,42"
"1516","810451,172","1514254,25"
"1517","810450,899","1514255,04"
"1518","810450,604","1514255,84"
"1519","810450,287","1514256,66"
"1520","810449,962","1514257,48"
"1521","810449,619","1514258,3"
"1522","810449,549","1514258,47"
"1523","810449,278","1514259,1"
"1524","810448,919","1514259,9"
"1525","810448,55","1514260,7"
"1526","810448,174","1514261,49"
"1527","810447,783","1514262,28"
"1528","810447,389","1514263,05"
"1529","810446,98","1514263,82"
"1530","810446,54","1514264,63"
"1531","810446,105","1514265,42"
"1532","810445,671","1514266,18"
"1533","810445,226","1514266,94"
"1534","810444,772","1514267,69"
"1535","810444,31","1514268,44"
"1536","810443,845","1514269,16"
"1537","810443,372","1514269,87"
"1538","810442,877","1514270,57"
"1539","810442,365","1514271,29"
"1540","810441,845","1514271,99"
"1541","810441,309","1514272,69"
"1542","810440,77","1514273,38"
"1543","810440,218","1514274,06"
"1544","810439,654","1514274,74"
"1545","810439,087","1514275,4"
"1546","810438,483","1514276,09"
"1547","810438,412","1514276,17"
"1548","810437,929","1514276,86"
"1549","810437,349","1514277,85"
"1550","810436,871","1514278,3"
"1551","810433,151","1514281,62"
"1552","810431,764","1514282,68"
"1553","810426,633","1514286,65"
"1554","810425,896","1514287,18"
"1555","810425,746","1514287,29"
"1556","810421,446","1514290,58"
"1557","810421,27","1514290,72"
"1558","810421,008","1514290,95"
"1559","810416,39","1514295,42"
"1560","810416,094","1514295,73"
"1561","810415,959","1514295,89"
"1562","810415,744","1514296,14"
"1563","810415,637","1514296,27"
"1564","810411,935","1514300,93"
"1565","810411,521","1514301,54"
"1566","810411,466","1514301,64"
"1567","810408,676","1514306,74"
"1568","810408,548","1514306,98"
"1569","810408,409","1514307,28"
"1570","810405,262","1514312,24"
"1571","810404,489","1514313,1"
"1572","810402,373","1514315,15"
"1573","810401,223","1514315,69"
"1574","810400,539","1514316,08"
"1575","810399,924","1514316,57"
"1576","810399,312","1514317,14"
"1577","810398,702","1514317,69"
"1578","810398,101","1514318,22"
"1579","810397,485","1514318,73"
"1580","810396,866","1514319,23"
"1581","810396,196","1514319,75"
"1582","810395,713","1514320,18"
"1583","810395,289","1514320,66"
"1584","810394,93","1514321,2"
"1585","810394,442","1514322,04"
"1586","810394,178","1514322,57"
"1587","810393,745","1514323,58"
"1588","810393,336","1514324,57"
"1589","810393,249","1514324,77"
"1590","810392,994","1514324,99"
"1591","810392,298","1514325,53"
"1592","810391,531","1514326,13"
"1593","810391,407","1514326,23"
"1594","810391,277","1514326,34"
"1595","810391,13","1514326,47"
"1596","810390,65","1514326,89"
"1597","810389,956","1514327,47"
"1598","810389,224","1514328,07"
"1599","810388,522","1514328,63"
"1600","810387,764","1514328,58"
"1601","810387,008","1514328,65"
"1602","810386,271","1514328,83"
"1603","810385,571","1514329,12"
"1604","810384,769","1514329,53"
"1605","810384,02","1514329,89"
"1606","810383,372","1514330,18"
"1607","810382,713","1514330,41"
"1608","810381,986","1514330,64"
"1609","810381,566","1514330,75"
"1610","810381,078","1514330,79"
"1611","810380,181","1514330,85"
"1612","810379,601","1514330,92"
"1613","810378,705","1514331,09"
"1614","810377,789","1514331,23"
"1615","810376,779","1514331,4"
"1616","810375,789","1514331,56"
"1617","810374,833","1514331,72"
"1618","810374,315","1514331,8"
"1619","810373,884","1514331,86"
"1620","810373,758","1514331,88"
"1621","810372,916","1514332,11"
"1622","810372,126","1514332,48"
"1623","810371,412","1514332,98"
"1624","810370,796","1514333,59"
"1625","810370,296","1514334,31"
"1626","810369,927","1514335,1"
"1627","810369,702","1514335,94"
"1628","810369,626","1514336,81"
"1629","810369,679","1514337,53"
"1630","810369,746","1514337,99"
"1631","810371,151","1514347,6"
"1632","810371,174","1514347,74"
"1633","810371,4","1514348,58"
"1634","810371,768","1514349,37"
"1635","810372,268","1514350,09"
"1636","810372,884","1514350,7"
"1637","810373,598","1514351,2"
"1638","810374,388","1514351,57"
"1639","810375,23","1514351,8"
"1640","810376,098","1514351,87"
"1641","810376,786","1514351,83"
"1642","810377,112","1514351,78"
"1643","810379,019","1514351,52"
"1644","810380,503","1514351,31"
"1645","810381,62","1514351,17"
"1646","810383,425","1514351,02"
"1647","810386,094","1514351,05"
"1648","810387,485","1514351,14"
"1649","810391,958","1514351,97"
"1650","810392,699","1514352,05"
"1651","810396,061","1514352,15"
"1652","810399,22","1514353,62"
"1653","810399,621","1514353,79"
"1654","810399,791","1514353,85"
"1655","810400,376","1514354,04"
"1656","810400,948","1514354,26"
"1657","810401,138","1514354,42"
"1658","810402,424","1514355,56"
"1659","810404,599","1514358,19"
"1660","810405,225","1514358,81"
"1661","810405,939","1514359,31"
"1662","810406,729","1514359,68"
"1663","810407,571","1514359,91"
"1664","810408,283","1514359,97"
"1665","810411,37","1514361,61"
"1666","810412,033","1514361,91"
"1667","810414,662","1514362,83"
"1668","810417,972","1514365,81"
"1669","810418,437","1514366,29"
"1670","810418,949","1514366,81"
"1671","810419,033","1514366,89"
"1672","810420,118","1514367,93"
"1673","810420,206","1514368,02"
"1674","810422,792","1514370,36"
"1675","810423,255","1514370,84"
"1676","810424,224","1514372,03"
"1677","810485,269","1514372,02"
"1678","810488,63","1514369,54"
"1679","810488,876","1514369,35"
"1680","810489,197","1514369,06"
"1681","810493,489","1514364,77"
"1682","810493,784","1514364,44"
"1683","810494,123","1514363,99"
"1684","810494,201","1514363,87"
"1685","810497,569","1514359,95"
"1686","810497,944","1514359,44"
"1687","810501,251","1514354,38"
"1688","810501,38","1514354,17"
