Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2019,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",187,416.4722,203,2.05158719211823
2019,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",51,147.7485,55,2.68633636363636
2019,Momil,B1.Mayor a 3 ha - hasta 5 ha,187,770.1825,235,3.27737234042553
2019,Momil,B2.Mayor a 5 ha - hasta 10 ha,213,1526.7555,271,5.63378413284132
2019,Momil,C1.Mayor a 10 ha - hasta 20 ha,143,1998.7366,228,8.76638859649121
2019,Momil,D1.Mayor a 20 ha - hasta 50 ha,105,3085.5612,169,18.2577585798816
2019,Momil,D2.Mayor a 50 ha - hasta 100 ha,35,2318.1025,45,51.5133888888889
2019,Momil,D3.Mayor a 100 ha - hasta 200 ha,10,1584.1052,15,105.607013333333
2019,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,821.925499999999,6,136.987583333333
2019,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
2020,Momil,"A1.Hasta 0,5 ha",328,53.0615,359,0.147803621169916
2020,Momil,"A2.Mayor a 0,5 ha - hasta 1 ha",57,63.5465,60,1.05910833333333
2020,Momil,"A3.Mayor a 1 ha - hasta 2,5 ha",194,426.0434,212,2.00963867924528
2020,Momil,"A4.Mayor a 2,5 ha - hasta 3 ha",58,170.1273,63,2.70043333333333
2020,Momil,B1.Mayor a 3 ha - hasta 5 ha,187,768.375,236,3.25582627118644
2020,Momil,B2.Mayor a 5 ha - hasta 10 ha,213,1519.6687,269,5.64932602230483
2020,Momil,C1.Mayor a 10 ha - hasta 20 ha,144,2011.6936,229,8.78468820960697
2020,Momil,D1.Mayor a 20 ha - hasta 50 ha,106,3133.5578,181,17.3124740331492
2020,Momil,D2.Mayor a 50 ha - hasta 100 ha,34,2246.6148,44,51.0594272727273
2020,Momil,D3.Mayor a 100 ha - hasta 200 ha,10,1583.8532,18,87.9918444444443
2020,Momil,E1.Mayor a 200 ha - hasta 500 ha,4,809.267699999998,6,134.87795
2020,Momil,E4.Mayor a 2000 ha - hasta 5000 ha,1,1920.0,1,1920.0
