Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2018,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,10,344.9612699999999
2019,Lorica,"A1.Hasta 0,5 ha",2434,421.27820000000025,2610,0.16140927203065145
2019,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",668,554.66699999999946,767,0.72316427640156389
2019,Lorica,"A3.Mayor a 1 ha - hasta 2,5 ha",1386,2554.9897000000028,1612,1.5849812034739472
2019,Lorica,"A4.Mayor a 2,5 ha - hasta 3 ha",355,1032.5356999999997,434,2.3791145161290315
2019,Lorica,B1.Mayor a 3 ha - hasta 5 ha,1188,4895.0786999999991,1559,3.1398837075048101
2019,Lorica,B2.Mayor a 5 ha - hasta 10 ha,1808,12904.8307,2407,5.3613754466140424
2019,Lorica,C1.Mayor a 10 ha - hasta 20 ha,1245,17018.41419999997,1780,9.5609068539325683
2019,Lorica,D1.Mayor a 20 ha - hasta 50 ha,684,20063.693600000002,1070,18.751115514018693
2019,Lorica,D2.Mayor a 50 ha - hasta 100 ha,171,11381.478499999996,278,40.940570143884877
2019,Lorica,D3.Mayor a 100 ha - hasta 200 ha,65,8544.3769999999786,103,82.955116504854161
2019,Lorica,E1.Mayor a 200 ha - hasta 500 ha,27,7512.7719999999908,36,208.68811111111086
2019,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,10,344.9612699999999
2020,Lorica,"A1.Hasta 0,5 ha",2453,425.14310000000035,2645,0.16073463137996233
2020,Lorica,"A2.Mayor a 0,5 ha - hasta 1 ha",668,554.21319999999946,760,0.72922789473684135
2020,Lorica,"A3.Mayor a 1 ha - hasta 2,5 ha",1395,2583.2984000000024,1631,1.5838739423666477
2020,Lorica,"A4.Mayor a 2,5 ha - hasta 3 ha",356,1024.4997999999996,435,2.3551719540229876
2020,Lorica,B1.Mayor a 3 ha - hasta 5 ha,1190,4902.3921,1561,3.1405458680333118
2020,Lorica,B2.Mayor a 5 ha - hasta 10 ha,1813,12936.671899999998,2418,5.350153804797352
2020,Lorica,C1.Mayor a 10 ha - hasta 20 ha,1262,17210.388299999966,1800,9.5613268333333146
2020,Lorica,D1.Mayor a 20 ha - hasta 50 ha,687,20141.400700000002,1058,19.037240737240076
2020,Lorica,D2.Mayor a 50 ha - hasta 100 ha,169,11239.127099999992,274,41.018712043795595
2020,Lorica,D3.Mayor a 100 ha - hasta 200 ha,65,8534.591699999979,103,82.860113592232807
2020,Lorica,E1.Mayor a 200 ha - hasta 500 ha,27,7777.8434999999909,37,210.21198648648624
2020,Lorica,E2.Mayor a 500 ha - hasta 1000 ha,5,3449.6126999999992,10,344.9612699999999
