Año,Municipio,rango tamaño predial,cantidad de predios,área (Ha),cantidad de propietarios,área(Ha)/propetario
2013,Puerto Escondido,C1.Mayor a 10 ha - hasta 20 ha,496,7268.3705999999947,576,12.618698958333324
2013,Puerto Escondido,D1.Mayor a 20 ha - hasta 50 ha,337,9773.9799999999905,430,22.730186046511605
2013,Puerto Escondido,D2.Mayor a 50 ha - hasta 100 ha,110,7994.1406999999954,158,50.595827215189843
2013,Puerto Escondido,D3.Mayor a 100 ha - hasta 200 ha,30,3815.3297999999872,37,103.11702162162128
2013,Puerto Escondido,E1.Mayor a 200 ha - hasta 500 ha,14,4346.5561999999954,20,217.32780999999977
2013,Puerto Escondido,E4.Mayor a 2000 ha - hasta 5000 ha,1,2077.596,1,2077.596
2013,Puerto Libertador,"A1.Hasta 0,5 ha",736,372.63389999999919,365,1.0209147945205457
2013,Puerto Libertador,"A2.Mayor a 0,5 ha - hasta 1 ha",68,54.747699999999995,60,0.91246166666666662
2013,Puerto Libertador,"A3.Mayor a 1 ha - hasta 2,5 ha",142,287.13779999999997,127,2.2609275590551179
2013,Puerto Libertador,"A4.Mayor a 2,5 ha - hasta 3 ha",33,105.5124,28,3.7683
2013,Puerto Libertador,B1.Mayor a 3 ha - hasta 5 ha,115,443.44059999999985,94,4.7174531914893603
2013,Puerto Libertador,B2.Mayor a 5 ha - hasta 10 ha,321,2559.4745000000003,320,7.998357812500001
2013,Puerto Libertador,C1.Mayor a 10 ha - hasta 20 ha,437,6098.2117999999955,431,14.148983294663562
2013,Puerto Libertador,D1.Mayor a 20 ha - hasta 50 ha,744,24614.214999999997,881,27.938950056753686
2013,Puerto Libertador,D2.Mayor a 50 ha - hasta 100 ha,289,20001.05679999998,393,50.893274300254404
2013,Puerto Libertador,D3.Mayor a 100 ha - hasta 200 ha,125,16513.056299999967,173,95.451192485548944
2013,Puerto Libertador,E1.Mayor a 200 ha - hasta 500 ha,47,12909.241999999986,64,201.70690624999978
2013,Puerto Libertador,E2.Mayor a 500 ha - hasta 1000 ha,14,5634.6050999999952,13,433.4311615384612
2013,Puerto Libertador,E3.Mayor a 1000 ha - hasta 2000 ha,2,2594.4087999999902,14,185.31491428571357
2013,Puerto Libertador,E4.Mayor a 2000 ha - hasta 5000 ha,3,,,#DIV/0!
2013,Puerto Libertador,E6.Mayor a 10000 ha,1,,,#DIV/0!
2013,Purísima,"A1.Hasta 0,5 ha",145,26.087499999999988,145,0.17991379310344818
2013,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",56,49.963899999999995,58,0.86144655172413787
2013,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",182,336.09649999999976,202,1.6638440594059394
2013,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",46,153.3795999999999,49,3.1301959183673449
2013,Purísima,B1.Mayor a 3 ha - hasta 5 ha,173,682.42650000000015,209,3.2651985645933022
2013,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1699.1174999999992,320,5.3097421874999977
2013,Purísima,C1.Mayor a 10 ha - hasta 20 ha,159,2156.8712999999998,235,9.1781757446808498
2013,Purísima,D1.Mayor a 20 ha - hasta 50 ha,94,2798.6028999999999,159,17.60127610062893
2013,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.1719999999998,19,26.53536842105262
2013,Purísima,D3.Mayor a 100 ha - hasta 200 ha,12,1678.165499999998,18,93.231416666666561
2013,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493,1,1493
