Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2018,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2019,Purísima,"A1.Hasta 0,5 ha",153,27.6999,154,0.17986948051948
2019,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",59,51.4995,63,0.817452380952381
2019,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",184,338.7695,206,1.64451213592233
2019,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",48,158.9835,51,3.11732352941176
2019,Purísima,B1.Mayor a 3 ha - hasta 5 ha,176,693.408,220,3.15185454545455
2019,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1708.9269,324,5.27446574074074
2019,Purísima,C1.Mayor a 10 ha - hasta 20 ha,158,2143.7748,234,9.16143076923077
2019,Purísima,D1.Mayor a 20 ha - hasta 50 ha,97,2898.6367,167,17.3571059880239
2019,Purísima,D2.Mayor a 50 ha - hasta 100 ha,8,504.172,20,25.2086
2019,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2019,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
2020,Purísima,"A1.Hasta 0,5 ha",153,27.6999,154,0.17986948051948
2020,Purísima,"A2.Mayor a 0,5 ha - hasta 1 ha",60,52.4662,64,0.819784375
2020,Purísima,"A3.Mayor a 1 ha - hasta 2,5 ha",185,338.8276,207,1.63684830917874
2020,Purísima,"A4.Mayor a 2,5 ha - hasta 3 ha",49,161.5267,52,3.10628269230769
2020,Purísima,B1.Mayor a 3 ha - hasta 5 ha,179,704.683,224,3.14590625
2020,Purísima,B2.Mayor a 5 ha - hasta 10 ha,231,1702.9043,331,5.14472598187311
2020,Purísima,C1.Mayor a 10 ha - hasta 20 ha,158,2133.3642,229,9.31600087336244
2020,Purísima,D1.Mayor a 20 ha - hasta 50 ha,96,2826.9478,165,17.133016969697
2020,Purísima,D2.Mayor a 50 ha - hasta 100 ha,9,559.5936,21,26.6473142857143
2020,Purísima,D3.Mayor a 100 ha - hasta 200 ha,11,1578.7335,15,105.2489
2020,Purísima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1493.0,1,1493.0
