Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2018,Chima,D3.Mayor a 100 ha - hasta 200 ha,30,3802.87389999999,77,49.3879727272726
2018,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4861.0816,74,65.6902918918918
2018,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,4,288.343799999997
2019,Chima,"A1.Hasta 0,5 ha",362,103.9267,373,0.278623860589812
2019,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",115,100.0656,119,0.840887394957983
2019,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",288,536.0495,317,1.69100788643533
2019,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",67,206.205,70,2.94578571428571
2019,Chima,B1.Mayor a 3 ha - hasta 5 ha,273,1180.0322,333,3.54364024024024
2019,Chima,B2.Mayor a 5 ha - hasta 10 ha,387,2834.3915,510,5.55763039215687
2019,Chima,C1.Mayor a 10 ha - hasta 20 ha,351,5025.59059999999,499,10.0713238476954
2019,Chima,D1.Mayor a 20 ha - hasta 50 ha,237,7292.7286,380,19.1913910526316
2019,Chima,D2.Mayor a 50 ha - hasta 100 ha,77,5466.30269999999,139,39.3259187050359
2019,Chima,D3.Mayor a 100 ha - hasta 200 ha,30,3802.87389999999,76,50.0378144736841
2019,Chima,E1.Mayor a 200 ha - hasta 500 ha,15,4272.0816,65,65.7243323076923
2019,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,4,288.343799999997
2020,Chima,"A1.Hasta 0,5 ha",365,104.1359,376,0.276957180851064
2020,Chima,"A2.Mayor a 0,5 ha - hasta 1 ha",116,98.9302,118,0.838391525423729
2020,Chima,"A3.Mayor a 1 ha - hasta 2,5 ha",290,542.0393,324,1.67296080246914
2020,Chima,"A4.Mayor a 2,5 ha - hasta 3 ha",70,213.2625,73,2.92140410958904
2020,Chima,B1.Mayor a 3 ha - hasta 5 ha,277,1198.266,342,3.50370175438596
2020,Chima,B2.Mayor a 5 ha - hasta 10 ha,396,2846.1471,514,5.53725116731518
2020,Chima,C1.Mayor a 10 ha - hasta 20 ha,357,5011.6765,500,10.023353
2020,Chima,D1.Mayor a 20 ha - hasta 50 ha,228,6922.8985,368,18.8122241847826
2020,Chima,D2.Mayor a 50 ha - hasta 100 ha,78,5505.81229999999,145,37.9711193103448
2020,Chima,D3.Mayor a 100 ha - hasta 200 ha,35,4076.01609999999,71,57.4086774647886
2020,Chima,E1.Mayor a 200 ha - hasta 500 ha,13,4019.8296,65,61.8435323076923
2020,Chima,E3.Mayor a 1000 ha - hasta 2000 ha,1,1153.37519999999,4,288.343799999997
