Año,Municipio,rangotamañopredial,cantidaddepredios,área(Ha),cantidaddepropietarios,área(Ha)/propetario
2018,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,673.111299999999,6,112.185216666667
2019,Cotorra,"A1.Hasta 0,5 ha",603,89.7356,623,0.144037881219904
2019,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,126.8194,181,0.700659668508287
2019,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",410,689.248200000001,445,1.54887235955056
2019,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",98,267.8545,106,2.52692924528302
2019,Cotorra,B1.Mayor a 3 ha - hasta 5 ha,260,1018.2297,309,3.29524174757282
2019,Cotorra,B2.Mayor a 5 ha - hasta 10 ha,253,1734.708,342,5.07224561403508
2019,Cotorra,C1.Mayor a 10 ha - hasta 20 ha,108,1448.7697,227,6.38224537444933
2019,Cotorra,D1.Mayor a 20 ha - hasta 50 ha,48,1239.0343,82,15.1101743902439
2019,Cotorra,D2.Mayor a 50 ha - hasta 100 ha,12,852.2585,20,42.612925
2019,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,673.111299999999,6,112.185216666667
2020,Cotorra,"A1.Hasta 0,5 ha",610,91.3974,630,0.145075238095238
2020,Cotorra,"A2.Mayor a 0,5 ha - hasta 1 ha",163,127.3861,181,0.703790607734807
2020,Cotorra,"A3.Mayor a 1 ha - hasta 2,5 ha",417,699.848,452,1.54833628318584
2020,Cotorra,"A4.Mayor a 2,5 ha - hasta 3 ha",96,263.042,103,2.55380582524272
2020,Cotorra,B1.Mayor a 3 ha - hasta 5 ha,260,1017.9381,310,3.28367129032258
2020,Cotorra,B2.Mayor a 5 ha - hasta 10 ha,256,1767.7107,363,4.86972644628098
2020,Cotorra,C1.Mayor a 10 ha - hasta 20 ha,105,1410.381,225,6.26835999999999
2020,Cotorra,D1.Mayor a 20 ha - hasta 50 ha,50,1300.4743,98,13.2701459183673
2020,Cotorra,D2.Mayor a 50 ha - hasta 100 ha,12,852.2585,32,26.633078125
2020,Cotorra,D3.Mayor a 100 ha - hasta 200 ha,6,673.111299999999,14,48.0793785714285
